provinsi,tahun,produktivitas,yoy_yield_pct,luas_panen,yoy_area_pct
ACEH,2020,0.55,,11581.2,
ACEH,2021,0.56,1.82,10289.99,-11.15
ACEH,2022,0.58,3.57,12453.57,21.03
ACEH,2023,0.57,-1.72,11728.37,-5.82
ACEH,2024,0.52,-8.77,10090.26,-13.97
BALI,2020,0.44,,7927.98,
BALI,2021,0.49,11.36,10245.83,29.24
BALI,2022,0.52,6.12,10316.71,0.69
BALI,2023,0.51,-1.92,9277.78,-10.07
BALI,2024,0.51,0,7669.79,-17.33
BANTEN,2020,0.69,,2945.5,
BANTEN,2021,0.68,-1.45,1375.5,-53.3
BANTEN,2022,0.77,13.24,1250.54,-9.08
BANTEN,2023,0.75,-2.6,1920.27,53.56
BANTEN,2024,0.6,-20,2112,9.98
BENGKULU,2020,0.57,,4145.68,
BENGKULU,2021,0.62,8.77,5983.25,44.32
BENGKULU,2022,0.69,11.29,10416.56,74.1
BENGKULU,2023,0.64,-7.25,7900.85,-24.15
BENGKULU,2024,0.64,0,9861.27,24.81
DI YOGYAKARTA,2020,0.54,,31380.87,
DI YOGYAKARTA,2021,0.51,-5.56,38391.14,22.34
DI YOGYAKARTA,2022,0.51,0,42974.56,11.94
DI YOGYAKARTA,2023,0.54,5.88,40056.38,-6.79
DI YOGYAKARTA,2024,0.5,-7.41,37546.96,-6.26
DKI JAKARTA,2020,0,,0,
DKI JAKARTA,2021,0,,0,
DKI JAKARTA,2022,0,,0,
DKI JAKARTA,2023,0,,0,
DKI JAKARTA,2024,0,,0,
GORONTALO,2020,0.46,,125415.3,
GORONTALO,2021,0.48,4.35,138958.14,10.8
GORONTALO,2022,0.49,2.08,140548.34,1.14
GORONTALO,2023,0.46,-6.12,114355.96,-18.64
GORONTALO,2024,0.49,6.52,128230.6,12.13
JAMBI,2020,0.69,,1111,
JAMBI,2021,0.58,-15.94,1665.97,49.95
JAMBI,2022,0.55,-5.17,1892.18,13.58
JAMBI,2023,0.61,10.91,781.46,-58.7
JAMBI,2024,0.7,14.75,1514.03,93.74
JAWA BARAT,2020,0.7,,59430.55,
JAWA BARAT,2021,0.72,2.86,68213.91,14.78
JAWA BARAT,2022,0.76,5.56,95689.92,40.28
JAWA BARAT,2023,0.75,-1.32,76901.39,-19.63
JAWA BARAT,2024,0.72,-4,77992.51,1.42
JAWA TENGAH,2020,0.6,,377065.18,
JAWA TENGAH,2021,0.63,5,340315.45,-9.75
JAWA TENGAH,2022,0.6,-4.76,404493.43,18.86
JAWA TENGAH,2023,0.59,-1.67,371046.77,-8.27
JAWA TENGAH,2024,0.59,0,412338.4,11.13
JAWA TIMUR,2020,0.57,,722182.15,
JAWA TIMUR,2021,0.58,1.75,687502.66,-4.8
JAWA TIMUR,2022,0.61,5.17,817449.46,18.9
JAWA TIMUR,2023,0.63,3.28,759060.89,-7.14
JAWA TIMUR,2024,0.62,-1.59,739157.3,-2.62
KALIMANTAN BARAT,2020,0.43,,4721.73,
KALIMANTAN BARAT,2021,0.5,16.28,8916.04,88.83
KALIMANTAN BARAT,2022,0.44,-12,16371.14,83.61
KALIMANTAN BARAT,2023,0.44,0,15099.14,-7.77
KALIMANTAN BARAT,2024,0.47,6.82,19449.93,28.81
KALIMANTAN SELATAN,2020,0.53,,28796.76,
KALIMANTAN SELATAN,2021,0.58,9.43,23340.2,-18.95
KALIMANTAN SELATAN,2022,0.6,3.45,25342.64,8.58
KALIMANTAN SELATAN,2023,0.61,1.67,18382.82,-27.46
KALIMANTAN SELATAN,2024,0.58,-4.92,18766.21,2.09
KALIMANTAN TENGAH,2020,0.53,,5816.31,
KALIMANTAN TENGAH,2021,0.54,1.89,6591.87,13.33
KALIMANTAN TENGAH,2022,0.48,-11.11,7459.13,13.16
KALIMANTAN TENGAH,2023,0.43,-10.42,5935.59,-20.43
KALIMANTAN TENGAH,2024,0.52,20.93,8555.57,44.14
KALIMANTAN TIMUR,2020,0.53,,1989.07,
